"No.","Time","Source","Destination","Protocol","Length","Info"
"108","18.274541579","8.8.8.8","192.168.1.12","DNS","150","Standard query response 0x66fa A scotthelme.co.uk A 172.67.69.128 A 104.26.3.2 A 104.26.2.2"
"109","18.295475388","104.17.24.14","192.168.1.12","TCP","66","443  >  55812 [ACK] Seq=1 Ack=1164 Win=73728 Len=0 TSval=3746786505 TSecr=845083178"
"110","18.295475742","104.17.24.14","192.168.1.12","TCP","66","443  >  55812 [ACK] Seq=1 Ack=1170 Win=73728 Len=0 TSval=3746786505 TSecr=845083178"
"111","18.295475808","104.17.24.14","192.168.1.12","TCP","66","443  >  55812 [ACK] Seq=1 Ack=1262 Win=73728 Len=0 TSval=3746786506 TSecr=845083178"
"112","18.295475855","104.17.24.14","192.168.1.12","TLSv1.3","823","Server Hello, Change Cipher Spec, Application Data, Application Data"
"113","18.295475902","104.17.24.14","192.168.1.12","TLSv1.3","137","Application Data"
"114","18.295524859","192.168.1.12","104.17.24.14","TCP","66","55812  >  443 [ACK] Seq=1262 Ack=758 Win=31872 Len=0 TSval=845083250 TSecr=3746786506"
"115","18.295545989","192.168.1.12","104.17.24.14","TCP","66","55812  >  443 [ACK] Seq=1262 Ack=829 Win=31872 Len=0 TSval=845083250 TSecr=3746786506"
"116","18.296301525","192.168.1.12","104.17.24.14","TLSv1.3","150","Application Data, Application Data"
"117","18.297114009","192.168.1.12","104.17.24.14","TLSv1.3","97","Application Data"
"118","18.315454731","8.8.8.8","192.168.1.12","DNS","228","Standard query response 0x7f36 AAAA www.linkedin.com CNAME cf-afd.www.linkedin.com CNAME www.linkedin.com.cdn.cloudflare.net AAAA 2606:4700:4400::6812:2929 AAAA 2606:4700:4400::ac40:92d7"
"119","18.315481138","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=849 Ack=1151 Win=31872 Len=0 TSval=3933965739 TSecr=75113601"
"120","18.325826034","8.8.8.8","192.168.1.12","TCP","78","[TCP Dup ACK 97#1] 53  >  39958 [ACK] Seq=1151 Ack=459 Win=268800 Len=0 TSval=75113647 TSecr=3933965631 SLE=111 SRE=187"
"121","18.325826238","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [ACK] Seq=1151 Ack=849 Win=268544 Len=0 TSval=75113647 TSecr=3933965688"
"122","18.325826297","8.8.8.8","192.168.1.12","DNS","180","Standard query response 0x4ef5 AAAA github.com SOA ns-1707.awsdns-21.co.uk"
"123","18.325826339","8.8.8.8","192.168.1.12","DNS","359","Standard query response 0xc16d A www.youtube.com CNAME youtube-ui.l.google.com A 216.58.211.206 A 142.250.203.238 A 142.250.200.238 A 142.251.37.238 A 142.250.200.206 A 172.217.19.142 A 172.217.18.46 A 142.250.201.14 A 172.217.21.14 A 142.251.37.206 A 142.251.37.46 A 142.250.201.46 A 172.217.171.206 A 142.251.37.174"
"124","18.325826389","8.8.8.8","192.168.1.12","DNS","189","Standard query response 0x8337 AAAA creativecommons.org AAAA 2606:4700:10::ac43:1bf AAAA 2606:4700:10::6814:686 AAAA 2606:4700:10::6814:586"
"125","18.325826430","8.8.8.8","192.168.1.12","DNS","153","Standard query response 0xc0a2 A creativecommons.org A 172.67.1.191 A 104.20.6.134 A 104.20.5.134"
"126","18.325826479","8.8.8.8","192.168.1.12","DNS","132","Standard query response 0xca92 A report-uri.com A 104.17.214.66 A 104.17.215.66"
"127","18.325826528","8.8.8.8","192.168.1.12","DNS","189","Standard query response 0xc253 AAAA securityheaders.com AAAA 2606:4700:20::681a:c39 AAAA 2606:4700:20::681a:d39 AAAA 2606:4700:20::ac43:48b1"
"128","18.325881153","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=849 Ack=1768 Win=31872 Len=0 TSval=3933965749 TSecr=75113647"
"129","18.325949520","8.8.8.8","192.168.1.12","DNS","156","Standard query response 0x636d AAAA report-uri.com AAAA 2606:4700::6811:d742 AAAA 2606:4700::6811:d642"
"130","18.325949559","8.8.8.8","192.168.1.12","DNS","153","Standard query response 0x5252 A securityheaders.com A 172.67.72.177 A 104.26.13.57 A 104.26.12.57"
"131","18.327564273","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=849 Ack=2134 Win=31872 Len=0 TSval=3933965751 TSecr=75113650"
"132","18.346750763","8.8.8.8","192.168.1.12","DNS","247","Standard query response 0xf3ed AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2a00:1450:4006:80c::200e AAAA 2a00:1450:4006:801::200e AAAA 2a00:1450:4006:80d::200e AAAA 2a00:1450:4006:80e::200e"
"133","18.346750918","8.8.8.8","192.168.1.12","DNS","131","Standard query response 0x6c72 A crawler.ninja A 188.114.97.5 A 188.114.96.5"
"134","18.346750958","8.8.8.8","192.168.1.12","DNS","155","Standard query response 0xefc2 AAAA crawler.ninja AAAA 2a06:98c1:3121::5 AAAA 2a06:98c1:3120::5"
"135","18.347708204","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=849 Ack=2469 Win=31872 Len=0 TSval=3933965771 TSecr=75113668"
"136","18.367170818","104.17.24.14","192.168.1.12","TCP","66","443  >  55812 [ACK] Seq=829 Ack=1377 Win=73728 Len=0 TSval=3746786587 TSecr=845083251"
"142","20.373763564","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [FIN, ACK] Seq=2469 Ack=849 Win=268800 Len=0 TSval=75115647 TSecr=3933965771"
"143","20.373856909","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [FIN, ACK] Seq=849 Ack=2470 Win=31872 Len=0 TSval=3933967797 TSecr=75115647"
"144","20.476694726","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [ACK] Seq=2470 Ack=850 Win=268800 Len=0 TSval=75115754 TSecr=3933967797"
"153","23.703393608","192.168.1.12","146.190.62.39","TCP","66","57914  >  80 [FIN, ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=90932428 TSecr=3401210814"
"154","23.703458036","192.168.1.12","146.190.62.39","TCP","66","57888  >  80 [FIN, ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=90932428 TSecr=3401210581"
"155","23.921903666","146.190.62.39","192.168.1.12","TCP","66","80  >  57914 [FIN, ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=3401216610 TSecr=90932428"
"156","23.921925913","192.168.1.12","146.190.62.39","TCP","66","57914  >  80 [ACK] Seq=2 Ack=2 Win=32128 Len=0 TSval=90932646 TSecr=3401216610"
"157","23.932039871","146.190.62.39","192.168.1.12","TCP","66","80  >  57888 [FIN, ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=3401216610 TSecr=90932428"
"158","23.932065140","192.168.1.12","146.190.62.39","TCP","66","57888  >  80 [ACK] Seq=2 Ack=2 Win=32128 Len=0 TSval=90932657 TSecr=3401216610"
"167","28.319016634","192.168.1.12","146.190.62.39","TCP","66","[TCP Keep-Alive] 57902  >  80 [ACK] Seq=499 Ack=750 Win=31872 Len=0 TSval=90937044 TSecr=3401210814"
